"","X","age","fnlwgt","education.num","hours.per.week","workclass","marital.status","occupation","race","sex","native.country","income","net.capital.gain"
"21",21,33,228696,2,32,"Private","married","Craft.repair","White","Male","other","Less_or_equal_50K",-2603
"22",22,49,122066,3,40,"Private","married","Other.service","White","Male","other","Less_or_equal_50K",-2603
"23",23,37,107164,6,50,"Self.emp.inc","not-married","Transport.moving","White","Male","US","More_than_50K",-2559
"24",24,38,175360,6,90,"Private","not-married","Prof.specialty","White","Male","US","More_than_50K",-2559
"25",25,23,44064,10,40,"Private","other","Other.service","White","Male","US","More_than_50K",-2559
"26",26,59,107287,6,50,"Self.emp.inc","other","Exec.managerial","White","Female","US","More_than_50K",-2559
"27",27,52,198863,15,60,"Private","other","Exec.managerial","White","Male","US","More_than_50K",-2559
"28",28,51,123011,13,50,"Private","other","Exec.managerial","White","Male","US","More_than_50K",-2559
"29",29,60,205246,9,50,"Self.emp.not.inc","not-married","Exec.managerial","Black","Male","US","More_than_50K",-2559
"30",30,63,39181,16,60,"Federal.gov","other","Exec.managerial","White","Female","US","More_than_50K",-2559
"31",31,53,149650,9,48,"Private","not-married","Sales","White","Male","US","More_than_50K",-2559
"32",32,51,197163,15,50,"Private","not-married","Prof.specialty","White","Female","US","More_than_50K",-2559
"33",33,37,137527,16,60,"Self.emp.not.inc","not-married","Prof.specialty","White","Female","US","More_than_50K",-2559
"34",34,54,161691,14,40,"Private","other","Prof.specialty","White","Female","US","More_than_50K",-2559
"35",35,44,326232,13,50,"Private","other","Exec.managerial","White","Male","US","More_than_50K",-2547
"36",36,43,115806,14,40,"Private","other","Exec.managerial","White","Female","US","More_than_50K",-2547
"37",37,51,115066,10,40,"Private","other","Adm.clerical","White","Female","US","More_than_50K",-2547
"38",38,43,289669,14,40,"Private","other","Prof.specialty","White","Female","US","More_than_50K",-2547
"39",39,48,121253,13,70,"Private","other","Sales","White","Female","US","More_than_50K",-2472
"40",40,71,110380,9,52,"Private","married","Sales","White","Male","US","Less_or_equal_50K",-2467
"41",41,73,233882,9,40,"Self.emp.not.inc","married","Farming.fishing","Asian-Pac-Islander","Male","other","Less_or_equal_50K",-2457
"42",42,40,335549,15,45,"Self.emp.not.inc","not-married","Prof.specialty","White","Male","US","More_than_50K",-2444
"43",43,50,237729,9,72,"Private","other","Sales","White","Female","US","More_than_50K",-2444
"44",44,51,68898,11,39,"State.gov","other","Tech.support","White","Male","US","More_than_50K",-2444
"45",45,42,107276,10,40,"Private","not-married","Exec.managerial","White","Female","US","More_than_50K",-2444
"46",46,39,141584,14,45,"Private","not-married","Sales","White","Male","US","More_than_50K",-2444
"47",47,32,207668,13,50,"Private","not-married","Exec.managerial","White","Male","US","More_than_50K",-2444
"48",48,53,313243,10,45,"Private","other","Craft.repair","White","Male","US","More_than_50K",-2444
"49",49,40,147372,10,40,"Local.gov","not-married","Protective.serv","White","Male","US","More_than_50K",-2444
"50",50,38,237608,13,45,"Private","not-married","Sales","White","Female","US","More_than_50K",-2444
"51",51,33,194901,11,42,"Private","other","Craft.repair","White","Male","US","More_than_50K",-2444
"52",52,43,155106,12,70,"Private","other","Craft.repair","White","Male","US","More_than_50K",-2444
"53",53,50,121441,7,40,"Self.emp.inc","not-married","Exec.managerial","White","Male","US","More_than_50K",-2444
"54",54,44,162028,10,6,"Private","married","Adm.clerical","White","Female","US","More_than_50K",-2415
"55",55,51,160724,13,40,"Self.emp.not.inc","married","Sales","Asian-Pac-Islander","Male","other","More_than_50K",-2415
"56",56,41,132222,15,40,"Private","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"57",57,37,329980,14,60,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"58",58,55,124137,15,35,"Self.emp.inc","married","Prof.specialty","White","Male","other","More_than_50K",-2415
"59",59,39,329980,13,60,"Self.emp.inc","married","Sales","White","Male","US","More_than_50K",-2415
"60",60,42,187702,15,60,"Self.emp.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"61",61,49,199029,13,55,"Private","married","Sales","White","Male","US","More_than_50K",-2415
"62",62,47,145290,9,50,"Self.emp.not.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"63",63,41,297248,15,45,"Local.gov","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"64",64,55,227856,13,50,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"65",65,39,179731,14,65,"Private","married","Exec.managerial","White","Female","US","More_than_50K",-2415
"66",66,42,154374,13,60,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"67",67,46,326857,14,65,"Private","married","Sales","White","Male","US","More_than_50K",-2415
"68",68,40,160369,14,45,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"69",69,32,396745,13,48,"Private","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"70",70,41,151089,10,55,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"71",71,60,336188,15,80,"Self.emp.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"72",72,31,279015,14,70,"Private","married","Exec.managerial","White","Male","other","More_than_50K",-2415
"73",73,58,43221,10,40,"Self.emp.not.inc","married","Farming.fishing","White","Male","US","More_than_50K",-2415
"74",74,37,30529,13,50,"Self.emp.inc","married","Sales","White","Male","US","More_than_50K",-2415
"75",75,44,201742,13,50,"Self.emp.not.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"76",76,55,298449,13,50,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"77",77,44,191712,14,55,"Self.emp.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"78",78,39,198654,15,67,"Private","married","Prof.specialty","Asian-Pac-Islander","Male","other","More_than_50K",-2415
"79",79,46,102308,13,40,"Self.emp.not.inc","married","Sales","White","Male","US","More_than_50K",-2415
"80",80,39,348521,10,99,"Private","married","Farming.fishing","White","Male","US","More_than_50K",-2415
"81",81,62,56248,13,60,"Self.emp.inc","married","Farming.fishing","White","Male","US","More_than_50K",-2415
"82",82,31,252752,9,40,"Self.emp.not.inc","married","Other.service","White","Female","US","More_than_50K",-2415
"83",83,46,192963,13,35,"Private","married","Adm.clerical","Asian-Pac-Islander","Male","other","More_than_50K",-2415
"84",84,46,198759,15,80,"Self.emp.not.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"85",85,39,143123,11,40,"Self.emp.inc","married","Craft.repair","White","Male","US","More_than_50K",-2415
"86",86,39,237713,15,99,"Private","married","Sales","White","Male","US","More_than_50K",-2415
"87",87,59,81929,16,45,"Private","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"88",88,50,167793,15,60,"Self.emp.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"89",89,46,456062,16,55,"Private","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"90",90,53,105478,13,40,"Self.emp.not.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"91",91,50,42402,15,30,"Self.emp.not.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"92",92,41,114580,15,55,"Self.emp.inc","married","Exec.managerial","White","Female","US","More_than_50K",-2415
"93",93,36,346478,13,45,"Private","married","Sales","White","Male","US","More_than_50K",-2415
"94",94,38,187870,15,90,"Private","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"95",95,54,35576,10,50,"Private","married","Sales","White","Male","US","More_than_50K",-2415
"96",96,50,102346,13,20,"Private","married","Exec.managerial","White","Female","US","More_than_50K",-2415
"97",97,47,148995,13,60,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2415
"98",98,47,102308,15,45,"Self.emp.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2415
"99",99,67,105252,13,40,"Private","other","Exec.managerial","White","Male","US","More_than_50K",-2392
"100",100,67,106175,13,75,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2392
"101",101,72,52138,16,25,"Self.emp.not.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2392
"102",102,46,191978,14,50,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2392
"103",103,78,188044,13,40,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2392
"104",104,71,66624,13,60,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2392
"105",105,83,153183,13,55,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2392
"106",106,68,211287,14,40,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2392
"107",107,26,181655,11,45,"Private","married","Adm.clerical","White","Male","US","Less_or_equal_50K",-2377
"108",108,68,235882,16,60,"State.gov","married","Prof.specialty","White","Male","US","More_than_50K",-2377
"109",109,49,158685,9,40,"Self.emp.inc","married","Adm.clerical","White","Female","US","More_than_50K",-2377
"110",110,36,370767,9,60,"Private","married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2377
"111",111,70,155141,13,12,"Self.emp.not.inc","married","Craft.repair","White","Male","US","More_than_50K",-2377
"112",112,27,156516,10,20,"Private","married","Adm.clerical","Black","Female","US","Less_or_equal_50K",-2377
"113",113,35,177305,10,40,"Local.gov","married","Exec.managerial","White","Male","US","Less_or_equal_50K",-2377
"114",114,23,162945,9,40,"Private","married","Sales","White","Male","US","Less_or_equal_50K",-2377
"115",115,81,177408,9,26,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2377
"116",116,66,427422,16,25,"Self.emp.not.inc","married","Sales","White","Male","US","More_than_50K",-2377
"117",117,71,152307,9,45,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2377
"118",118,68,218637,10,55,"Private","married","Sales","White","Male","US","More_than_50K",-2377
"119",119,52,222405,9,40,"Private","married","Sales","Black","Male","US","Less_or_equal_50K",-2377
"120",120,40,110862,12,50,"Self.emp.inc","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2377
"121",121,21,377931,10,48,"Private","married","Exec.managerial","White","Male","US","Less_or_equal_50K",-2377
"122",122,35,192923,9,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2377
"123",123,70,207938,13,50,"Self.emp.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2377
"124",124,61,36671,9,50,"Self.emp.not.inc","married","Farming.fishing","White","Male","US","Less_or_equal_50K",-2352
"125",125,65,81413,9,65,"Self.emp.inc","married","Farming.fishing","White","Male","US","Less_or_equal_50K",-2352
"126",126,46,214955,3,45,"Private","other","Craft.repair","White","Female","US","Less_or_equal_50K",-2339
"127",127,26,166295,13,55,"Local.gov","not-married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2339
"128",128,59,147707,9,40,"Local.gov","other","Farming.fishing","White","Male","US","Less_or_equal_50K",-2339
"129",129,61,43554,3,40,"Private","not-married","Handlers.cleaners","Black","Male","US","Less_or_equal_50K",-2339
"130",130,60,358893,13,40,"State.gov","other","Prof.specialty","White","Female","US","Less_or_equal_50K",-2339
"131",131,49,141058,10,50,"Self.emp.inc","other","Exec.managerial","White","Male","US","Less_or_equal_50K",-2339
"132",132,25,77071,13,35,"Private","not-married","Prof.specialty","White","Female","US","Less_or_equal_50K",-2339
"133",133,59,171328,9,40,"Local.gov","other","Protective.serv","Black","Female","US","Less_or_equal_50K",-2339
"134",134,28,381789,10,40,"State.gov","other","Exec.managerial","White","Male","US","Less_or_equal_50K",-2339
"135",135,56,346635,14,60,"Self.emp.not.inc","other","Sales","White","Female","US","Less_or_equal_50K",-2339
"136",136,41,162140,9,40,"Private","other","Craft.repair","White","Male","US","Less_or_equal_50K",-2339
"137",137,42,191765,9,40,"Private","not-married","Adm.clerical","Black","Female","other","Less_or_equal_50K",-2339
"138",138,28,251905,15,40,"Private","not-married","Prof.specialty","White","Male","other","Less_or_equal_50K",-2339
"139",139,40,33310,15,35,"Self.emp.not.inc","other","Other.service","White","Female","US","Less_or_equal_50K",-2339
"140",140,69,228921,13,40,"Private","other","Prof.specialty","White","Male","US","More_than_50K",-2282
"141",141,66,36364,9,40,"Local.gov","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2267
"142",142,69,124930,3,40,"Private","married","Machine.op.inspct","White","Male","US","Less_or_equal_50K",-2267
"143",143,55,176046,14,40,"Local.gov","married","Prof.specialty","White","Female","US","Less_or_equal_50K",-2267
"144",144,57,370890,9,40,"Federal.gov","not-married","Adm.clerical","White","Male","US","Less_or_equal_50K",-2258
"145",145,20,157145,10,10,"Self.emp.not.inc","not-married","Farming.fishing","White","Male","US","Less_or_equal_50K",-2258
"146",146,33,288825,9,84,"Private","other","Craft.repair","White","Male","US","Less_or_equal_50K",-2258
"147",147,30,257295,10,40,"Self.emp.not.inc","not-married","Sales","Asian-Pac-Islander","Male","other","Less_or_equal_50K",-2258
"148",148,40,287983,13,48,"Private","not-married","Tech.support","Asian-Pac-Islander","Female","other","Less_or_equal_50K",-2258
"149",149,38,101978,10,55,"Private","other","Machine.op.inspct","White","Male","US","More_than_50K",-2258
"150",150,46,192779,12,38,"State.gov","other","Adm.clerical","White","Male","US","More_than_50K",-2258
"151",151,29,135296,13,45,"Private","not-married","Exec.managerial","White","Female","US","More_than_50K",-2258
"152",152,57,199114,13,40,"Federal.gov","not-married","Adm.clerical","White","Male","US","Less_or_equal_50K",-2258
"153",153,39,156897,9,42,"Private","not-married","Craft.repair","White","Male","US","More_than_50K",-2258
"154",154,47,138107,13,40,"Private","other","Exec.managerial","White","Male","US","More_than_50K",-2258
"155",155,26,279833,13,45,"Private","not-married","Exec.managerial","White","Male","US","More_than_50K",-2258
"156",156,27,208577,9,50,"Self.emp.not.inc","not-married","Craft.repair","White","Male","US","Less_or_equal_50K",-2258
"157",157,23,102942,13,40,"Private","not-married","Prof.specialty","White","Female","US","More_than_50K",-2258
"158",158,34,36385,14,50,"Private","not-married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2258
"159",159,33,176185,8,42,"Private","other","Craft.repair","White","Male","US","Less_or_equal_50K",-2258
"160",160,38,162613,14,60,"Local.gov","not-married","Prof.specialty","White","Female","US","Less_or_equal_50K",-2258
"161",161,57,121362,10,38,"Private","other","Adm.clerical","White","Female","US","More_than_50K",-2258
"162",162,36,145933,9,70,"Private","not-married","Exec.managerial","White","Male","US","Less_or_equal_50K",-2258
"163",163,44,29591,13,40,"Federal.gov","other","Tech.support","White","Male","US","More_than_50K",-2258
"164",164,49,269417,16,50,"State.gov","not-married","Exec.managerial","White","Female","US","More_than_50K",-2258
"165",165,44,178510,10,60,"Self.emp.inc","not-married","Sales","White","Male","US","Less_or_equal_50K",-2258
"166",166,55,41108,10,62,"Private","other","Farming.fishing","White","Male","US","More_than_50K",-2258
"167",167,45,187901,9,44,"Private","other","Farming.fishing","White","Male","US","More_than_50K",-2258
"168",168,48,175070,9,40,"Private","other","Exec.managerial","White","Female","US","More_than_50K",-2258
"169",169,31,263561,13,45,"Private","married","Exec.managerial","White","Male","US","More_than_50K",-2246
"170",170,55,99131,9,40,"Local.gov","married","Prof.specialty","White","Female","US","More_than_50K",-2246
"171",171,70,143833,10,40,"Self.emp.not.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2246
"172",172,70,124449,14,8,"Self.emp.not.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2246
"173",173,73,336007,13,40,"Private","married","Prof.specialty","White","Male","US","More_than_50K",-2246
"174",174,72,285408,15,28,"Self.emp.not.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2246
"175",175,31,327825,9,40,"Private","other","Machine.op.inspct","White","Female","US","Less_or_equal_50K",-2238
"176",176,28,129460,6,35,"Private","other","Adm.clerical","White","Female","US","Less_or_equal_50K",-2238
"177",177,23,258298,13,40,"Self.emp.not.inc","not-married","Adm.clerical","White","Male","US","More_than_50K",-2231
"178",178,49,102359,5,40,"Local.gov","other","Handlers.cleaners","White","Male","US","More_than_50K",-2231
"179",179,27,92431,10,40,"Local.gov","not-married","Protective.serv","White","Male","US","More_than_50K",-2231
"180",180,90,51744,9,40,"Private","not-married","Other.service","Black","Male","US","Less_or_equal_50K",-2206
"181",181,68,166149,9,30,"Private","other","Adm.clerical","White","Female","US","Less_or_equal_50K",-2206
"182",182,65,149811,9,59,"Private","other","Adm.clerical","White","Female","other","Less_or_equal_50K",-2206
"183",183,67,118363,13,5,"Private","other","Exec.managerial","White","Female","US","Less_or_equal_50K",-2206
"184",184,66,362165,13,25,"Local.gov","other","Prof.specialty","Black","Female","US","Less_or_equal_50K",-2206
"185",185,24,379066,10,24,"Private","not-married","Adm.clerical","White","Male","US","Less_or_equal_50K",-2205
"186",186,44,171424,10,35,"Self.emp.not.inc","other","Machine.op.inspct","White","Male","US","Less_or_equal_50K",-2205
"187",187,35,108293,10,40,"Private","not-married","Adm.clerical","White","Female","US","Less_or_equal_50K",-2205
"188",188,20,107801,12,18,"Private","not-married","Other.service","White","Female","US","Less_or_equal_50K",-2205
"189",189,38,126675,9,40,"Private","other","Craft.repair","White","Male","US","Less_or_equal_50K",-2205
"190",190,39,155603,10,40,"Private","not-married","Other.service","Black","Female","US","Less_or_equal_50K",-2205
"191",191,32,27882,10,40,"Private","not-married","Machine.op.inspct","White","Female","other","Less_or_equal_50K",-2205
"192",192,42,242564,4,40,"Private","not-married","Handlers.cleaners","Black","Male","US","Less_or_equal_50K",-2205
"193",193,42,23510,14,60,"Self.emp.inc","other","Exec.managerial","Asian-Pac-Islander","Male","other","More_than_50K",-2201
"194",194,64,181232,7,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2179
"195",195,28,166481,4,40,"Private","married","Handlers.cleaners","Other","Male","other","Less_or_equal_50K",-2179
"196",196,41,139916,11,84,"Self.emp.inc","married","Sales","Other","Male","other","Less_or_equal_50K",-2179
"197",197,41,144594,4,40,"Self.emp.not.inc","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2179
"198",198,58,266707,2,18,"Self.emp.not.inc","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2179
"199",199,59,303176,10,40,"State.gov","married","Exec.managerial","White","Male","US","Less_or_equal_50K",-2179
"200",200,34,56460,9,12,"Self.emp.not.inc","married","Farming.fishing","White","Female","US","Less_or_equal_50K",-2179
"201",201,45,167523,9,45,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2179
"202",202,29,119004,9,40,"Private","married","Adm.clerical","White","Female","US","Less_or_equal_50K",-2179
"203",203,47,175925,6,52,"Private","married","Sales","White","Male","US","Less_or_equal_50K",-2179
"204",204,40,212847,10,40,"Private","married","Machine.op.inspct","White","Male","US","Less_or_equal_50K",-2179
"205",205,47,191175,3,50,"Self.emp.not.inc","married","Sales","White","Male","other","Less_or_equal_50K",-2179
"206",206,41,170214,9,40,"Self.emp.not.inc","married","Handlers.cleaners","White","Male","US","Less_or_equal_50K",-2179
"207",207,34,180714,10,40,"Private","married","Transport.moving","Black","Male","US","Less_or_equal_50K",-2179
"208",208,65,111483,10,10,"Self.emp.not.inc","married","Exec.managerial","White","Male","US","More_than_50K",-2174
"209",209,70,282642,9,40,"Private","married","Handlers.cleaners","White","Male","US","More_than_50K",-2174
"210",210,75,309955,15,50,"Self.emp.not.inc","married","Prof.specialty","White","Male","US","More_than_50K",-2174
"211",211,65,215908,9,40,"State.gov","married","Adm.clerical","White","Male","US","More_than_50K",-2174
"212",212,65,23494,10,40,"Federal.gov","married","Exec.managerial","Black","Male","US","More_than_50K",-2174
"213",213,73,147551,10,50,"Private","married","Prof.specialty","White","Male","US","More_than_50K",-2174
"214",214,68,116903,11,40,"Self.emp.not.inc","married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2149
"215",215,74,119129,9,20,"Self.emp.not.inc","married","Sales","White","Male","US","Less_or_equal_50K",-2149
"216",216,19,342384,7,55,"Self.emp.not.inc","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2129
"217",217,37,68899,9,40,"Self.emp.not.inc","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2129
"218",218,45,207107,12,40,"Federal.gov","other","Adm.clerical","Asian-Pac-Islander","Male","other","Less_or_equal_50K",-2080
"219",219,64,149044,14,60,"Private","married","Prof.specialty","Asian-Pac-Islander","Male","other","Less_or_equal_50K",-2057
"220",220,30,148524,9,40,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2057
"221",221,51,268639,10,60,"Self.emp.not.inc","married","Prof.specialty","White","Female","other","Less_or_equal_50K",-2057
"222",222,35,272019,7,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2057
"223",223,29,239753,9,20,"Private","married","Adm.clerical","White","Female","US","Less_or_equal_50K",-2057
"224",224,34,199864,10,40,"Private","married","Adm.clerical","White","Female","US","Less_or_equal_50K",-2057
"225",225,41,125831,9,60,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"226",226,35,67728,10,45,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"227",227,26,115717,10,40,"Private","married","Adm.clerical","White","Male","US","Less_or_equal_50K",-2051
"228",228,54,172281,9,50,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2051
"229",229,52,305053,9,40,"Local.gov","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"230",230,50,105010,9,20,"Self.emp.not.inc","married","Farming.fishing","White","Male","US","Less_or_equal_50K",-2051
"231",231,31,291052,10,40,"Private","married","Adm.clerical","White","Male","US","Less_or_equal_50K",-2051
"232",232,38,248919,9,40,"Federal.gov","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2051
"233",233,30,84119,10,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"234",234,34,105540,13,40,"Local.gov","married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2051
"235",235,31,161765,10,57,"Private","married","Sales","White","Male","US","Less_or_equal_50K",-2051
"236",236,52,195635,9,38,"Private","married","Machine.op.inspct","White","Male","US","Less_or_equal_50K",-2051
"237",237,54,816750,9,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"238",238,38,160192,9,44,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"239",239,39,136081,9,40,"Private","married","Machine.op.inspct","White","Male","US","Less_or_equal_50K",-2051
"240",240,29,244473,11,40,"Private","married","Tech.support","White","Male","US","Less_or_equal_50K",-2051
"241",241,45,187033,9,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"242",242,34,265807,9,55,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2051
"243",243,38,154410,9,40,"Private","married","Craft.repair","White","Male","other","Less_or_equal_50K",-2051
"244",244,39,314007,6,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"245",245,61,179743,9,20,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2051
"246",246,43,117037,7,40,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2042
"247",247,35,40135,10,40,"Private","married","Handlers.cleaners","White","Male","US","Less_or_equal_50K",-2042
"248",248,46,315423,10,50,"Private","married","Sales","White","Male","US","Less_or_equal_50K",-2042
"249",249,38,35429,9,40,"Private","married","Handlers.cleaners","White","Male","US","Less_or_equal_50K",-2042
"250",250,42,120837,9,48,"Self.emp.not.inc","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2042
"251",251,34,90614,12,10,"Private","married","Tech.support","White","Male","US","Less_or_equal_50K",-2042
"252",252,29,202878,4,40,"Private","married","Farming.fishing","White","Male","US","Less_or_equal_50K",-2042
"253",253,32,260954,7,30,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2042
"254",254,60,127084,9,34,"Private","married","Protective.serv","White","Male","US","Less_or_equal_50K",-2042
"255",255,49,107231,9,40,"Local.gov","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2002
"256",256,53,135102,9,45,"Local.gov","married","Other.service","White","Male","US","Less_or_equal_50K",-2002
"257",257,56,201822,4,40,"Private","married","Handlers.cleaners","White","Male","US","Less_or_equal_50K",-2002
"258",258,48,413363,7,40,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2002
"259",259,32,148138,13,40,"Federal.gov","married","Prof.specialty","Asian-Pac-Islander","Male","other","Less_or_equal_50K",-2002
"260",260,42,170721,9,40,"Self.emp.not.inc","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2002
"261",261,32,102858,12,42,"Private","married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2002
"262",262,28,175262,12,40,"Local.gov","married","Protective.serv","White","Male","other","Less_or_equal_50K",-2002
"263",263,26,36936,11,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2002
"264",264,59,169982,13,50,"Private","married","Exec.managerial","White","Male","US","Less_or_equal_50K",-2002
"265",265,47,208407,13,30,"Self.emp.not.inc","married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2002
"266",266,41,41090,9,60,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2002
"267",267,36,183739,9,40,"Private","married","Craft.repair","White","Female","US","Less_or_equal_50K",-2002
"268",268,45,357540,13,55,"Private","married","Sales","White","Male","US","Less_or_equal_50K",-2002
"269",269,30,48520,12,40,"Private","married","Prof.specialty","White","Male","US","Less_or_equal_50K",-2002
"270",270,36,107916,9,40,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2002
"271",271,34,198613,9,40,"Self.emp.inc","married","Exec.managerial","White","Male","US","Less_or_equal_50K",-2002
"272",272,53,283743,9,40,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2002
"273",273,51,210940,9,45,"Private","married","Sales","White","Male","US","Less_or_equal_50K",-2002
"274",274,47,355978,16,45,"Self.emp.not.inc","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2002
